les Escaldes,les Escaldes,42.50729,1.53414,AD,15853,,1033,Europe/Andorra
Andorra la Vella,Andorra la Vella,42.50779,1.52109,AD,20430,,1037,Europe/Andorra
Umm al Qaywayn,Umm al Qaywayn,25.56473,55.55517,AE,44411,,2,Asia/Dubai
Ra’s al Khaymah,Ra's al Khaymah,25.78953,55.9432,AE,115949,,2,Asia/Dubai
Khawr Fakkān,Khawr Fakkan,25.33132,56.34199,AE,33575,,20,Asia/Dubai
Dubai,Dubai,25.25817,55.30472,AE,1137347,,11,Asia/Dubai
Dibā,Diba,25.61955,56.27291,AE,26395,,4,Asia/Dubai
Sharjah,Sharjah,25.35731,55.4033,AE,543733,,12,Asia/Dubai
Ar Ruways,Ar Ruways,24.11028,52.73056,AE,16000,,16,Asia/Dubai
Al Fujayrah,Al Fujayrah,25.11641,56.34141,AE,62415,,15,Asia/Dubai
Al ‘Ayn,Al `Ayn,24.19167,55.76056,AE,408733,,275,Asia/Dubai
`Ajmān,`Ajman,25.41111,55.43504,AE,226172,,4,Asia/Dubai
Adh Dhayd,Adh Dhayd,25.28812,55.88157,AE,24716,,114,Asia/Dubai
Abu Dhabi,Abu Dhabi,24.46667,54.36667,AE,603492,,6,Asia/Dubai
Taloqan,Taloqan,36.73605,69.53451,AF,64256,,801,Asia/Kabul
Shīnḏanḏ,Shindand,33.30294,62.1474,AF,29264,,1071,Asia/Kabul
Shibirghān,Shibirghan,36.66757,65.7529,AF,55641,,360,Asia/Kabul
Shahrak,Shahrak,34.10738,64.3052,AF,15967,,2357,Asia/Kabul
Sar-e Pul,Sar-e Pul,36.21544,65.93249,AF,52121,,636,Asia/Kabul
Sang-e Chārak,Sang-e Charak,35.84972,66.43694,AF,15377,,1483,Asia/Kabul
Aībak,Aibak,36.26468,68.01551,AF,47823,,969,Asia/Kabul
Rustāq,Rustaq,37.12604,69.83045,AF,25636,,1314,Asia/Kabul
Qarqīn,Qarqin,37.41853,66.04358,AF,15018,,263,Asia/Kabul
Qarāwul,Qarawul,37.22019,68.78041,AF,24544,,337,Asia/Kabul
Pul-e Khumrī,Pul-e Khumri,35.94458,68.71512,AF,56369,,638,Asia/Kabul
Paghmān,Paghman,34.58787,68.95091,AF,49157,,2276,Asia/Kabul
Nahrīn,Nahrin,36.0649,69.13343,AF,22363,,1138,Asia/Kabul
Maymana,Maymana,35.92139,64.78361,AF,75900,877,864,Asia/Kabul
Mehtar Lām,Mehtar Lam,34.67139,70.20944,AF,17345,,795,Asia/Kabul
Mazār-e Sharīf,Mazar-e Sharif,36.70904,67.11087,AF,303282,,361,Asia/Kabul
Lashkar Gāh,Lashkar Gah,31.59382,64.37161,AF,43934,,786,Asia/Kabul
Kushk,Kushk,33.29565,61.95221,AF,16952,,1115,Asia/Kabul
Kunduz,Kunduz,36.72896,68.857,AF,161902,,402,Asia/Kabul
Khōst,Khost,33.33951,69.92041,AF,96123,,1183,Asia/Kabul
Khulm,Khulm,36.69736,67.69826,AF,64933,,445,Asia/Kabul
Khāsh,Khash,31.52919,62.79055,AF,15133,,579,Asia/Kabul
Khanabad,Khanabad,36.6825,69.11556,AF,71531,,503,Asia/Kabul
Karukh,Karukh,34.48108,62.5863,AF,17484,,1340,Asia/Kabul
Kandahār,Kandahar,31.61332,65.71013,AF,391190,,1007,Asia/Kabul
Kabul,Kabul,34.52813,69.17233,AF,3043532,,1798,Asia/Kabul
Jalālābād,Jalalabad,34.42647,70.45153,AF,200331,,575,Asia/Kabul
Jabal os Saraj,Jabal os Saraj,35.11833,69.23778,AF,15032,,1612,Asia/Kabul
Herāt,Herat,34.34817,62.19967,AF,272806,,927,Asia/Kabul
Ghormach,Ghormach,35.73062,63.78264,AF,30000,,659,Asia/Kabul
Ghazni,Ghazni,33.55356,68.42689,AF,141000,,2181,Asia/Kabul
Gereshk,Gereshk,31.82089,64.57005,AF,43588,,830,Asia/Kabul
Gardēz,Gardez,33.59744,69.22592,AF,103601,,2308,Asia/Kabul
Fayzabad,Fayzabad,37.11664,70.58002,AF,44421,,1210,Asia/Kabul
Farāh,Farah,32.37451,62.11638,AF,43561,,662,Asia/Kabul
Kafir Qala,Kafir Qala,34.66667,61.06667,AF,18086,,726,Asia/Kabul
Charikar,Charikar,35.01361,69.17139,AF,53676,,1554,Asia/Kabul
Barakī Barak,Baraki Barak,33.9675,68.94861,AF,22305,,1937,Asia/Kabul
Balkh,Balkh,36.75635,66.8972,AF,114883,,348,Asia/Kabul
Baghlān,Baghlan,36.13068,68.70829,AF,108449,,531,Asia/Kabul
Ārt Khwājah,Art Khwajah,37.08571,69.47958,AF,18623,,481,Asia/Kabul
Āsmār,Asmar,35.03333,71.35809,AF,15708,,913,Asia/Kabul
Asadābād,Asadabad,34.87311,71.14697,AF,48400,,837,Asia/Kabul
Andkhōy,Andkhoy,36.95293,65.12376,AF,29208,,306,Asia/Kabul
Markaz-e Woluswalī-ye Āchīn,Markaz-e Woluswali-ye Achin,34.12583,70.70778,AF,15098,,972,Asia/Kabul
Cool űrhajó,Cool urhajo,34.26545,67.34516,AF,58525,,2884,Asia/Kabul
Saint John’s,Saint John's,17.11667,-61.85,AG,24226,,6,America/Antigua
The Valley,The Valley,18.21704,-63.05783,AI,1169,7,19,America/Anguilla
Sarandë,Sarande,39.87556,20.00528,AL,15147,,32,Europe/Tirane
